
Airline Code ,Airline Name,S15,Share_S15,S16,Share_S16,S17,Share_S17,S18,Share_S18,S19,Share_S19
3O,AIR ARABIA,0,0.0%,124,0.0%,124,0.0%,102,0.0%,60,0.0%
3S,AEROLOGIC AIRLINE,780,0.3%,806,0.3%,833,0.3%,989,0.3%,1259,0.4%
4U,GERMANWINGS,14,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%
5K,HIFLY S.A. PORTUGAL,0,0.0%,44,0.0%,0,0.0%,0,0.0%,0,0.0%
5P,SMALL PLANET,0,0.0%,0,0.0%,0,0.0%,292,0.1%,0,0.0%
5Y,ATLAS AIR,0,0.0%,60,0.0%,0,0.0%,0,0.0%,0,0.0%
8Q,ONUR AIR TAIMACILIK A/S,420,0.1%,440,0.1%,434,0.1%,90,0.0%,287,0.1%
9U,AIR MOLDOVA,350,0.1%,310,0.1%,370,0.1%,404,0.1%,390,0.1%
