Airline Code,Airline Name,S15,Share_S15,S16,Share_S16,S17,Share_S17,S18,Share_S18,S19,Share_S19
0B,BLUE AIR,414,0.6%,582,0.8%,590,0.9%,708,0.9%,570,0.7%
3L,INTERSKY LUFTFAHRT GMBH,4,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%
4U,GERMANWINGS,20405,30.1%,21498,30.6%,12483,18.3%,3,0.0%,1,0.0%
5P,SMALL PLANET,0,0.0%,0,0.0%,0,0.0%,203,0.3%,0,0.0%
6H,ISRAIR,40,0.1%,4,0.0%,18,0.0%,18,0.0%,18,0.0%
6Y,SMARTLYNX,0,0.0%,10,0.0%,0,0.0%,0,0.0%,0,0.0%
8Q,ONUR AIR TAIMACILIK A/S,420,0.6%,494,0.7%,462,0.7%,258,0.3%,440,0.6%
A3,AEGEAN AIRLINES,608,0.9%,536,0.8%,622,0.9%,668,0.9%,772,1.0%
AB,AIR BERLIN GMBH,12854,19.0%,11881,16.9%,6323,9.3%,0,0.0%,0,0.0%
