AIRPORT,AIRLINE_CODE,AIRLINE_NAME,S15,S16,S17,S18,S19,PRE_SUM,POST_SUM
HAM,5P,SMALL PLANET,0,0,0,661,0,0,661
HAM,AP,ALBA STAR,0,0,0,2,0,0,2
HAM,ARZ,AZURAIR GMBH,0,0,0,79,0,0,79
HAM,BE,FLYBE,0,0,0,380,344,0,724
HAM,BV,BLUE PANORAMA AIRLINES,0,0,0,22,12,0,34
HAM,EJU,EASYJET AUSTRIA,0,0,0,0,647,0,647
HAM,ENT,ENTER AIR,0,0,0,6,0,0,6
HAM,ENZ,JOTA AVIATION,0,0,0,0,2,0,2
HAM,JP,ADRIA AIRWAYS,0,0,0,248,0,0,248
