Airline Code,Airline Name,S15,Share_S15,S16,Share_S16,S17,Share_S17,S18,Share_S18,S19,Share_S19
0B,BLUE AIR,0,0.0%,0,0.0%,0,0.0%,186,0.1%,180,0.1%
3L,INTERSKY LUFTFAHRT GMBH,78,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%
3O,AIR ARABIA,0,0.0%,0,0.0%,0,0.0%,124,0.0%,60,0.0%
3V,ASL AIRLINES BELGIUM,0,0.0%,0,0.0%,0,0.0%,0,0.0%,540,0.2%
4U,GERMANWINGS,914,0.4%,990,0.4%,1198,0.5%,0,0.0%,0,0.0%
5K,HIFLY S.A. PORTUGAL,0,0.0%,47,0.0%,0,0.0%,0,0.0%,0,0.0%
5P,SMALL PLANET,0,0.0%,0,0.0%,0,0.0%,171,0.1%,0,0.0%
6H,ISRAIR,0,0.0%,52,0.0%,36,0.0%,36,0.0%,22,0.0%
6Y,SMARTLYNX,0,0.0%,10,0.0%,0,0.0%,0,0.0%,0,0.0%
