
Airline Code,Airline Name,S15,Share_S15,S16,Share_S16,S17,Share_S17,S18,Share_S18,S19,Share_S19
3L,INTERSKY LUFTFAHRT GMBH,612,0.5%,0,0.0%,0,0.0%,0,0.0%,0,0.0%
4U,GERMANWINGS,34105,25.6%,12561,9.0%,7087,4.9%,10,0.0%,0,0.0%
5P,SMALL PLANET,0,0.0%,0,0.0%,0,0.0%,1432,1.0%,0,0.0%
6Y,SMARTLYNX,0,0.0%,20,0.0%,0,0.0%,0,0.0%,0,0.0%
8Q,ONUR AIR TAIMACILIK A/S,420,0.3%,700,0.5%,540,0.4%,876,0.6%,886,0.6%
8U,AFRIQIYAH AIRWAYS,240,0.2%,0,0.0%,0,0.0%,0,0.0%,0,0.0%
A3,AEGEAN AIRLINES,992,0.7%,1038,0.7%,1076,0.7%,1022,0.7%,1098,0.8%
A5,HOP,262,0.2%,274,0.2%,517,0.4%,694,0.5%,424,0.3%
