AIRPORT,AIRLINE_CODE,AIRLINE_NAME,S15,S16,S17,S18,S19,PRE_SUM,POST_SUM
TXL,5P,SMALL PLANET,0,0,0,98,0,0,98
TXL,AA,AMERICAN AIRLINES,0,0,0,0,132,0,132
TXL,ATV,AVANTI AIR,0,0,0,11,0,0,11
TXL,BJ,NOUVEL AIR,0,0,0,118,132,0,250
TXL,CXI,CORENDON AIRLINES EUROPE,0,0,0,246,0,0,246
TXL,DP,POBEDA AIRLINES LLC,0,0,0,0,222,0,222
TXL,EJU,EASYJET AUSTRIA,0,0,0,1797,33942,0,35739
TXL,EVE,IBEROJET (EVELOP AIRLINES),0,0,0,0,8,0,8
TXL,EZE,EASTERN AIRWAYS,0,0,0,0,4,0,4
