Origin Airport,Origin Airport Name,Origin City Name,Origin Country Name,Origin Region Name,Destination Airport,Destination Airport Name,Destination City Name,Destination Country Name,Destination Region Name,Operating Airline,Operating Airline Name,Year,Month,Airline Share,Passengers,PPDEW,Load Factor,ASK (Millions),RPK (Millions),Departures,Distance (km)
FRA,FRANKFURT INTERNATIONAL AIRPORT,FRANKFURT,GERMANY,WESTERN EUROPE,TXL,TEGEL AIRPORT,BERLIN,GERMANY,WESTERN EUROPE,LH,Deutsche Lufthansa AG,2019,4,80.7,72549.55,2418.3,71.02,44.06,31.29,550.0,431.0
TXL,TEGEL AIRPORT,BERLIN,GERMANY,WESTERN EUROPE,FRA,FRANKFURT INTERNATIONAL AIRPORT,FRANKFURT,GERMANY,WESTERN EUROPE,LH,Deutsche Lufthansa AG,2019,4,79.75,71388.47,2379.6,69.77,44.13,30.79,551.0,431.0
FRA,FRANKFURT INTERNATIONAL AIRPORT,FRANKFURT,GERMANY,WESTERN EUROPE,HAM,HAMBURG AIRPORT,HAMBURG,GERMANY,WESTERN EUROPE,LH,Deutsche Lufthansa AG,2019,4,99.79,64758.03,2158.6,66.62,40.05,26.68,493.0,412.0
HAM,HAMBURG AIRPORT,HAMBURG,GERMANY,WESTERN EUROPE,FRA,FRANKFURT INTERNATIONAL AIRPORT,FRANKFURT,GERMANY,WESTERN EUROPE,LH,Deutsche Lufthansa AG,2019,4,99.79,62998.28,2099.9,64.78,40.06,25.95,493.0,412.0
HAM,HAMBURG AIRPORT,HAMBURG,GERMANY,WESTERN EUROPE,MUC,MUNICH INTERNATIONAL,MUNICH,GERMANY,WESTERN EUROPE,LH,Deutsche Lufthansa AG,2019,4,82.36,59461.83,1982.1,81.63,43.72,35.69,426.0,600.0
MUC,MUNICH INTERNATIONAL,MUNICH,GERMANY,WESTERN EUROPE,HAM,HAMBURG AIRPORT,HAMBURG,GERMANY,WESTERN EUROPE,LH,Deutsche Lufthansa AG,2019,4,81.39,56751.67,1891.7,78.12,43.61,34.07,425.0,600.0
MUC,MUNICH INTERNATIONAL,MUNICH,GERMANY,WESTERN EUROPE,TXL,TEGEL AIRPORT,BERLIN,GERMANY,WESTERN EUROPE,LH,Deutsche Lufthansa AG,2019,4,69.02,55109.56,1837.0,71.82,36.8,26.43,445.0,480.0
TXL,TEGEL AIRPORT,BERLIN,GERMANY,WESTERN EUROPE,MUC,MUNICH INTERNATIONAL,MUNICH,GERMANY,WESTERN EUROPE,LH,Deutsche Lufthansa AG,2019,4,68.26,53172.33,1772.4,69.27,36.81,25.5,445.0,480.0
FRA,FRANKFURT INTERNATIONAL AIRPORT,FRANKFURT,GERMANY,WESTERN EUROPE,MUC,MUNICH INTERNATIONAL,MUNICH,GERMANY,WESTERN EUROPE,LH,Deutsche Lufthansa AG,2019,4,99.98,50604.48,1686.8,60.48,25.05,15.15,427.0,299.0
