Origin Airport,Origin Airport Name,Origin City Name,Origin Country Name,Origin Region Name,Destination Airport,Destination Airport Name,Destination City Name,Destination Country Name,Destination Region Name,Operating Airline,Operating Airline Name,Year,Month,Airline Share,Passengers,PPDEW,Load Factor,ASK (Millions),RPK (Millions),Departures,Distance (km)
TXL,TEGEL AIRPORT,BERLIN,GERMANY,WESTERN EUROPE,FRA,FRANKFURT INTERNATIONAL AIRPORT,FRANKFURT,GERMANY,WESTERN EUROPE,LH,Deutsche Lufthansa AG,2018,11,78.08,79447.21,2648.2,67.66,50.65,34.27,598.0,431.0
FRA,FRANKFURT INTERNATIONAL AIRPORT,FRANKFURT,GERMANY,WESTERN EUROPE,TXL,TEGEL AIRPORT,BERLIN,GERMANY,WESTERN EUROPE,LH,Deutsche Lufthansa AG,2018,11,77.08,78716.73,2623.9,67.03,50.65,33.95,598.0,431.0
TXL,TEGEL AIRPORT,BERLIN,GERMANY,WESTERN EUROPE,MUC,MUNICH INTERNATIONAL,MUNICH,GERMANY,WESTERN EUROPE,LH,Deutsche Lufthansa AG,2018,11,69.68,61098.96,2036.6,66.82,43.85,29.3,517.0,480.0
MUC,MUNICH INTERNATIONAL,MUNICH,GERMANY,WESTERN EUROPE,TXL,TEGEL AIRPORT,BERLIN,GERMANY,WESTERN EUROPE,LH,Deutsche Lufthansa AG,2018,11,69.4,60336.39,2011.2,66.01,43.84,28.94,517.0,480.0
FRA,FRANKFURT INTERNATIONAL AIRPORT,FRANKFURT,GERMANY,WESTERN EUROPE,HAM,HAMBURG AIRPORT,HAMBURG,GERMANY,WESTERN EUROPE,LH,Deutsche Lufthansa AG,2018,11,99.98,59178.94,1972.6,65.26,37.22,24.29,457.0,410.0
HAM,HAMBURG AIRPORT,HAMBURG,GERMANY,WESTERN EUROPE,FRA,FRANKFURT INTERNATIONAL AIRPORT,FRANKFURT,GERMANY,WESTERN EUROPE,LH,Deutsche Lufthansa AG,2018,11,99.97,57566.12,1918.9,63.46,37.22,23.62,457.0,410.0
HAM,HAMBURG AIRPORT,HAMBURG,GERMANY,WESTERN EUROPE,MUC,MUNICH INTERNATIONAL,MUNICH,GERMANY,WESTERN EUROPE,LH,Deutsche Lufthansa AG,2018,11,76.76,56162.25,1872.1,63.0,53.51,33.71,526.0,600.0
MUC,MUNICH INTERNATIONAL,MUNICH,GERMANY,WESTERN EUROPE,HAM,HAMBURG AIRPORT,HAMBURG,GERMANY,WESTERN EUROPE,LH,Deutsche Lufthansa AG,2018,11,75.87,55565.28,1852.2,62.36,53.5,33.36,526.0,600.0
