Origin Airport,Origin Airport Name,Origin City Name,Origin Country Name,Origin Region Name,Destination Airport,Destination Airport Name,Destination City Name,Destination Country Name,Destination Region Name,Operating Airline,Operating Airline Name,Year,Month,Airline Share,Passengers,PPDEW,Load Factor,ASK (Millions),RPK (Millions),Departures,Distance (km)
FRA,FRANKFURT INTERNATIONAL AIRPORT,FRANKFURT,GERMANY,WESTERN EUROPE,TXL,TEGEL AIRPORT,BERLIN,GERMANY,WESTERN EUROPE,LH,Deutsche Lufthansa AG,2015,11,77.66,53892.94,1796.4,59.33,40.05,23.76,475.0,441.0
TXL,TEGEL AIRPORT,BERLIN,GERMANY,WESTERN EUROPE,FRA,FRANKFURT INTERNATIONAL AIRPORT,FRANKFURT,GERMANY,WESTERN EUROPE,LH,Deutsche Lufthansa AG,2015,11,76.28,53681.53,1789.4,59.2,39.98,23.67,474.0,441.0
MUC,MUNICH INTERNATIONAL,MUNICH,GERMANY,WESTERN EUROPE,HAM,HAMBURG AIRPORT,HAMBURG,GERMANY,WESTERN EUROPE,LH,Deutsche Lufthansa AG,2015,11,66.16,48421.04,1614.0,68.8,43.17,29.7,402.0,613.0
FRA,FRANKFURT INTERNATIONAL AIRPORT,FRANKFURT,GERMANY,WESTERN EUROPE,HAM,HAMBURG AIRPORT,HAMBURG,GERMANY,WESTERN EUROPE,LH,Deutsche Lufthansa AG,2015,11,100.0,46432.55,1547.8,56.54,34.63,19.58,436.0,422.0
HAM,HAMBURG AIRPORT,HAMBURG,GERMANY,WESTERN EUROPE,FRA,FRANKFURT INTERNATIONAL AIRPORT,FRANKFURT,GERMANY,WESTERN EUROPE,LH,Deutsche Lufthansa AG,2015,11,99.98,45247.05,1508.2,55.37,34.46,19.08,434.0,422.0
HAM,HAMBURG AIRPORT,HAMBURG,GERMANY,WESTERN EUROPE,MUC,MUNICH INTERNATIONAL,MUNICH,GERMANY,WESTERN EUROPE,LH,Deutsche Lufthansa AG,2015,11,64.62,45112.09,1503.7,64.24,43.07,27.67,401.0,613.0
MUC,MUNICH INTERNATIONAL,MUNICH,GERMANY,WESTERN EUROPE,TXL,TEGEL AIRPORT,BERLIN,GERMANY,WESTERN EUROPE,LH,Deutsche Lufthansa AG,2015,11,54.95,44101.01,1470.0,65.15,33.23,21.65,393.0,491.0
TXL,TEGEL AIRPORT,BERLIN,GERMANY,WESTERN EUROPE,MUC,MUNICH INTERNATIONAL,MUNICH,GERMANY,WESTERN EUROPE,LH,Deutsche Lufthansa AG,2015,11,53.7,42777.82,1425.9,63.37,33.14,21.0,392.0,491.0
MUC,MUNICH INTERNATIONAL,MUNICH,GERMANY,WESTERN EUROPE,FRA,FRANKFURT INTERNATIONAL AIRPORT,FRANKFURT,GERMANY,WESTERN EUROPE,LH,Deutsche Lufthansa AG,2015,11,99.94,40184.96,1339.5,55.22,21.93,12.11,410.0,301.0
