Origin Airport,Origin Airport Name,Origin City Name,Origin Country Name,Origin Region Name,Destination Airport,Destination Airport Name,Destination City Name,Destination Country Name,Destination Region Name,Operating Airline,Operating Airline Name,Year,Month,Airline Share,Passengers,PPDEW,Load Factor,ASK (Millions),RPK (Millions),Departures,Distance (km)
FRA,FRANKFURT INTERNATIONAL AIRPORT,FRANKFURT,GERMANY,WESTERN EUROPE,TXL,TEGEL AIRPORT,BERLIN,GERMANY,WESTERN EUROPE,LH,Deutsche Lufthansa AG,2017,4,82.6,68028.66,2267.6,75.45,39.75,29.99,470.0,441.0
TXL,TEGEL AIRPORT,BERLIN,GERMANY,WESTERN EUROPE,FRA,FRANKFURT INTERNATIONAL AIRPORT,FRANKFURT,GERMANY,WESTERN EUROPE,LH,Deutsche Lufthansa AG,2017,4,82.44,67168.3,2238.9,74.32,39.84,29.61,471.0,441.0
FRA,FRANKFURT INTERNATIONAL AIRPORT,FRANKFURT,GERMANY,WESTERN EUROPE,HAM,HAMBURG AIRPORT,HAMBURG,GERMANY,WESTERN EUROPE,LH,Deutsche Lufthansa AG,2017,4,99.98,59898.96,1996.6,68.57,36.84,25.26,488.0,422.0
HAM,HAMBURG AIRPORT,HAMBURG,GERMANY,WESTERN EUROPE,FRA,FRANKFURT INTERNATIONAL AIRPORT,FRANKFURT,GERMANY,WESTERN EUROPE,LH,Deutsche Lufthansa AG,2017,4,99.98,58962.37,1965.4,67.51,36.84,24.87,488.0,422.0
FRA,FRANKFURT INTERNATIONAL AIRPORT,FRANKFURT,GERMANY,WESTERN EUROPE,MUC,MUNICH INTERNATIONAL,MUNICH,GERMANY,WESTERN EUROPE,LH,Deutsche Lufthansa AG,2017,4,99.73,48047.02,1601.6,65.97,21.95,14.48,404.0,301.0
MUC,MUNICH INTERNATIONAL,MUNICH,GERMANY,WESTERN EUROPE,HAM,HAMBURG AIRPORT,HAMBURG,GERMANY,WESTERN EUROPE,LH,Deutsche Lufthansa AG,2017,4,65.21,47105.9,1570.2,76.96,37.54,28.89,341.0,613.0
HAM,HAMBURG AIRPORT,HAMBURG,GERMANY,WESTERN EUROPE,MUC,MUNICH INTERNATIONAL,MUNICH,GERMANY,WESTERN EUROPE,LH,Deutsche Lufthansa AG,2017,4,64.55,46631.7,1554.4,76.0,37.63,28.6,342.0,613.0
MUC,MUNICH INTERNATIONAL,MUNICH,GERMANY,WESTERN EUROPE,FRA,FRANKFURT INTERNATIONAL AIRPORT,FRANKFURT,GERMANY,WESTERN EUROPE,LH,Deutsche Lufthansa AG,2017,4,99.78,46432.11,1547.7,63.74,21.95,13.99,404.0,301.0
FRA,FRANKFURT INTERNATIONAL AIRPORT,FRANKFURT,GERMANY,WESTERN EUROPE,LHR,HEATHROW AIRPORT,LONDON,UNITED KINGDOM,WESTERN EUROPE,LH,Deutsche Lufthansa AG,2017,4,66.38,46427.99,1547.6,81.26,37.72,30.65,332.0,660.0
