GROUP,S15,S16,S17,S18,S19
LUFTHANSA_GROUP,191261,198507,201325,220870,217096
AIR_BERLIN_GROUP,4587,4098,3532,1758,60
LowCostCarrier_GROUP,14185,15963,17033,31522,31099
legacy_group,34356,33032,32393,32783,32197
regional_and_others,0,0,0,0,0
new_entrants,0,0,0,1000,2528
