GROUP,S15,S16,S17,S18,S19
LUFTHANSA_GROUP,49038,51024,52636,67302,73418
AIR_BERLIN_GROUP,36917,39988,42663,8514,6148
LowCostCarrier_GROUP,14394,16106,16016,26939,25694
legacy_group,22611,23207,22159,23106,22606
regional_and_others,0,0,0,0,420
new_entrants,0,0,0,6664,1672
