GROUP,S15,S16,S17,S18,S19
LUFTHANSA_GROUP,30895,32564,33822,42971,40927
AIR_BERLIN_GROUP,12858,11881,8627,1227,5580
LowCostCarrier_GROUP,9529,10995,10693,14067,14544
legacy_group,9362,10039,10493,12411,12283
regional_and_others,0,0,0,0,0
new_entrants,0,0,0,1167,1720
