GROUP,S15,S16,S17,S18,S19
LUFTHANSA_GROUP,0,40472,41242,48923,46375
AIR_BERLIN_GROUP,0,11530,8770,2961,1758
LowCostCarrier_GROUP,0,14844,19728,17969,18171
legacy_group,0,18217,18262,18866,18789
regional_and_others,0,0,0,64,180
new_entrants,0,0,0,1084,928
