GROUP,S15,S16,S17,S18,S19
LUFTHANSA_GROUP,33653,35679,34840,50485,44541
AIR_BERLIN_GROUP,53893,48758,52986,16774,1168
LowCostCarrier_GROUP,2920,3747,2324,42397,48241
legacy_group,18950,21526,19544,23237,23044
regional_and_others,0,0,0,0,0
new_entrants,0,0,0,1461,1860
