GROUP,S15,S16,S17,S18,S19
LUFTHANSA_GROUP,19,1706,0,0,0
AIR_BERLIN_GROUP,0,0,0,0,0
LowCostCarrier_GROUP,28096,40698,48221,48671,41788
legacy_group,3366,2980,2232,2276,2122
regional_and_others,0,0,0,0,0
new_entrants,0,0,0,2022,642
