Origin Airport,Destination Region Normalized,Year,Airline_Group,Departures,Total_Market_Departures,Market_Share,Market_Share_Squared,Route
DUS,NORTH AFRICA,2016,LUFTHANSA_GROUP,0.0,152.0,0.0,0.0,DUS → NORTH AFRICA
DUS,NORTH AFRICA,2016,LowCostCarrier_GROUP,100.0,152.0,0.6578947368421053,0.432825484764543,DUS → NORTH AFRICA
DUS,NORTH AFRICA,2017,AIR_BERLIN_GROUP,12.0,207.0,0.057971014492753624,0.003360638521319051,DUS → NORTH AFRICA
DUS,NORTH AFRICA,2017,LUFTHANSA_GROUP,139.0,207.0,0.6714975845410628,0.45090900604448175,DUS → NORTH AFRICA
DUS,NORTH AFRICA,2017,LowCostCarrier_GROUP,56.0,207.0,0.27053140096618356,0.07318723890872599,DUS → NORTH AFRICA
DUS,NORTH AFRICA,2018,AIR_BERLIN_GROUP,2.0,500.0,0.004,1.6e-05,DUS → NORTH AFRICA
DUS,NORTH AFRICA,2018,LUFTHANSA_GROUP,143.0,500.0,0.286,0.08179599999999998,DUS → NORTH AFRICA
DUS,NORTH AFRICA,2018,LowCostCarrier_GROUP,355.0,500.0,0.71,0.5041,DUS → NORTH AFRICA
DUS,NORTH AFRICA,2019,AIR_BERLIN_GROUP,13.0,726.0,0.01790633608815427,0.000320636872101936,DUS → NORTH AFRICA
DUS,NORTH AFRICA,2019,LUFTHANSA_GROUP,245.0,726.0,0.33746556473829203,0.11388300738413437,DUS → NORTH AFRICA
DUS,NORTH AFRICA,2019,LowCostCarrier_GROUP,468.0,726.0,0.6446280991735537,0.41554538624410897,DUS → NORTH AFRICA
DUS,NORTH AFRICA,2019,NEW_ENTRANT,0.0,726.0,0.0,0.0,DUS → NORTH AFRICA
DUS,WESTERN EUROPE,2015,AIR_BERLIN_GROUP,14307.0,42505.0,0.3365956946241619,0.11329666163952204,DUS → WESTERN EUROPE
DUS,WESTERN EUROPE,2015,LUFTHANSA_GROUP,19678.0,42505.0,0.4629572991412775,0.21432946082818627,DUS → WESTERN EUROPE
DUS,WESTERN EUROPE,2015,LowCostCarrier_GROUP,4636.0,42505.0,0.10906952123279615,0.011896160461951369,DUS → WESTERN EUROPE
DUS,WESTERN EUROPE,2015,legacy_group,3879.0,42505.0,0.09125985178214328,0.00832836054729876,DUS → WESTERN EUROPE
DUS,WESTERN EUROPE,2015,regional_and_others,5.0,42505.0,0.00011763321962122103,1.3837574358454422e-08,DUS → WESTERN EUROPE
DUS,WESTERN EUROPE,2016,AIR_BERLIN_GROUP,15828.0,45683.0,0.34647461856708184,0.12004466131120485,DUS → WESTERN EUROPE
DUS,WESTERN EUROPE,2016,LUFTHANSA_GROUP,20693.0,45683.0,0.45296937591664294,0.20518125551831298,DUS → WESTERN EUROPE
DUS,WESTERN EUROPE,2016,LowCostCarrier_GROUP,5077.0,45683.0,0.11113543331217302,0.012351084537484456,DUS → WESTERN EUROPE
DUS,WESTERN EUROPE,2016,NEW_ENTRANT,4.0,45683.0,8.755992382286628e-05,7.666740259866145e-09,DUS → WESTERN EUROPE
DUS,WESTERN EUROPE,2016,legacy_group,4081.0,45683.0,0.08933301228027932,0.007980387083068535,DUS → WESTERN EUROPE
DUS,WESTERN EUROPE,2017,AIR_BERLIN_GROUP,18064.0,45998.0,0.3927127266402887,0.15422328566525015,DUS → WESTERN EUROPE
DUS,WESTERN EUROPE,2017,LUFTHANSA_GROUP,18409.0,45998.0,0.40021305274142355,0.16017048758460947,DUS → WESTERN EUROPE
DUS,WESTERN EUROPE,2017,LowCostCarrier_GROUP,5170.0,45998.0,0.11239619113874516,0.012632903782497337,DUS → WESTERN EUROPE
DUS,WESTERN EUROPE,2017,legacy_group,4355.0,45998.0,0.09467802947954258,0.008963929266129135,DUS → WESTERN EUROPE
DUS,WESTERN EUROPE,2018,AIR_BERLIN_GROUP,8190.0,44049.0,0.1859293060001362,0.034569706829692286,DUS → WESTERN EUROPE
DUS,WESTERN EUROPE,2018,LUFTHANSA_GROUP,22590.0,44049.0,0.5128379758904856,0.2630027895154503,DUS → WESTERN EUROPE
DUS,WESTERN EUROPE,2018,LowCostCarrier_GROUP,8832.0,44049.0,0.2005039841994143,0.040201847679838976,DUS → WESTERN EUROPE
DUS,WESTERN EUROPE,2018,NEW_ENTRANT,272.0,44049.0,0.006174941542373266,3.812990305172713e-05,DUS → WESTERN EUROPE
DUS,WESTERN EUROPE,2018,legacy_group,4165.0,44049.0,0.09455379236759064,0.008940419651093441,DUS → WESTERN EUROPE
DUS,WESTERN EUROPE,2018,regional_and_others,0.0,44049.0,0.0,0.0,DUS → WESTERN EUROPE
DUS,WESTERN EUROPE,2019,AIR_BERLIN_GROUP,8375.0,46407.0,0.18046846380933912,0.03256886642970274,DUS → WESTERN EUROPE
DUS,WESTERN EUROPE,2019,LUFTHANSA_GROUP,25286.0,46407.0,0.5448746956278148,0.2968884339355038,DUS → WESTERN EUROPE
DUS,WESTERN EUROPE,2019,LowCostCarrier_GROUP,7815.0,46407.0,0.1684013187665654,0.028359004162318367,DUS → WESTERN EUROPE
DUS,WESTERN EUROPE,2019,NEW_ENTRANT,428.0,46407.0,0.009222746568405629,8.50590542650378e-05,DUS → WESTERN EUROPE
DUS,WESTERN EUROPE,2019,legacy_group,4298.0,46407.0,0.0926153382032883,0.008577600870509473,DUS → WESTERN EUROPE
DUS,WESTERN EUROPE,2019,regional_and_others,205.0,46407.0,0.004417437024586808,1.9513749866190352e-05,DUS → WESTERN EUROPE
FRA,EASTERN EUROPE,2015,AIR_BERLIN_GROUP,0.0,21300.0,0.0,0.0,FRA → EASTERN EUROPE
FRA,EASTERN EUROPE,2015,LUFTHANSA_GROUP,14997.0,21300.0,0.7040845070422536,0.4957349930569332,FRA → EASTERN EUROPE
FRA,EASTERN EUROPE,2015,LowCostCarrier_GROUP,1324.0,21300.0,0.06215962441314554,0.003863818907183319,FRA → EASTERN EUROPE
FRA,EASTERN EUROPE,2015,legacy_group,4979.0,21300.0,0.23375586854460093,0.05464180607904075,FRA → EASTERN EUROPE
FRA,EASTERN EUROPE,2016,AIR_BERLIN_GROUP,0.0,20130.0,0.0,0.0,FRA → EASTERN EUROPE
FRA,EASTERN EUROPE,2016,LUFTHANSA_GROUP,14351.0,20130.0,0.712916045702931,0.5082492882207036,FRA → EASTERN EUROPE
FRA,EASTERN EUROPE,2016,LowCostCarrier_GROUP,881.0,20130.0,0.043765524093392946,0.0019154210991693585,FRA → EASTERN EUROPE
