Origin Airport,Destination Region Normalized,Year,HHI,Route
MUC,GULF/MIDDLE EAST,2016,5958.917954815697,MUC → GULF/MIDDLE EAST
MUC,GULF/MIDDLE EAST,2017,5717.061727530548,MUC → GULF/MIDDLE EAST
MUC,GULF/MIDDLE EAST,2018,6916.09977324263,MUC → GULF/MIDDLE EAST
MUC,GULF/MIDDLE EAST,2019,10000.0,MUC → GULF/MIDDLE EAST
MUC,NORTH AFRICA,2015,4308.074030148872,MUC → NORTH AFRICA
MUC,NORTH AFRICA,2016,5064.89344656305,MUC → NORTH AFRICA
MUC,NORTH AFRICA,2017,5579.584523046443,MUC → NORTH AFRICA
MUC,NORTH AFRICA,2018,4295.83472711667,MUC → NORTH AFRICA
MUC,NORTH AFRICA,2019,4567.888596821544,MUC → NORTH AFRICA
MUC,WESTERN EUROPE,2015,5143.172647591162,MUC → WESTERN EUROPE
MUC,WESTERN EUROPE,2016,4821.1383628447775,MUC → WESTERN EUROPE
MUC,WESTERN EUROPE,2017,4854.535477973958,MUC → WESTERN EUROPE
MUC,WESTERN EUROPE,2018,5817.401311880124,MUC → WESTERN EUROPE
MUC,WESTERN EUROPE,2019,6104.468737041866,MUC → WESTERN EUROPE
STR,EASTERN EUROPE,2015,3562.0202304546224,STR → EASTERN EUROPE
STR,EASTERN EUROPE,2016,3541.6304269048806,STR → EASTERN EUROPE
STR,EASTERN EUROPE,2017,3215.101779509509,STR → EASTERN EUROPE
STR,EASTERN EUROPE,2018,3457.037700413673,STR → EASTERN EUROPE
STR,EASTERN EUROPE,2019,3531.559151739211,STR → EASTERN EUROPE
STR,GULF/MIDDLE EAST,2015,10000.0,STR → GULF/MIDDLE EAST
STR,GULF/MIDDLE EAST,2016,10000.0,STR → GULF/MIDDLE EAST
STR,GULF/MIDDLE EAST,2019,10000.0,STR → GULF/MIDDLE EAST
STR,NORTH AFRICA,2015,5441.928414901388,STR → NORTH AFRICA
STR,NORTH AFRICA,2016,0.0,STR → NORTH AFRICA
STR,NORTH AFRICA,2017,7950.010501995379,STR → NORTH AFRICA
STR,NORTH AFRICA,2018,9798.000832986256,STR → NORTH AFRICA
STR,NORTH AFRICA,2019,4978.164031793169,STR → NORTH AFRICA
STR,WESTERN EUROPE,2015,3910.7675601199303,STR → WESTERN EUROPE
STR,WESTERN EUROPE,2016,3826.0443359802134,STR → WESTERN EUROPE
STR,WESTERN EUROPE,2017,3383.7956851680988,STR → WESTERN EUROPE
STR,WESTERN EUROPE,2018,3860.065998258202,STR → WESTERN EUROPE
STR,WESTERN EUROPE,2019,3325.9284204555297,STR → WESTERN EUROPE
SXF,EASTERN EUROPE,2015,5044.14546606871,SXF → EASTERN EUROPE
SXF,EASTERN EUROPE,2016,5581.1427218934905,SXF → EASTERN EUROPE
SXF,EASTERN EUROPE,2017,6076.935109388082,SXF → EASTERN EUROPE
SXF,EASTERN EUROPE,2018,6377.087917694427,SXF → EASTERN EUROPE
SXF,EASTERN EUROPE,2019,6220.994623726535,SXF → EASTERN EUROPE
SXF,GULF/MIDDLE EAST,2015,10000.0,SXF → GULF/MIDDLE EAST
SXF,GULF/MIDDLE EAST,2016,10000.0,SXF → GULF/MIDDLE EAST
SXF,GULF/MIDDLE EAST,2017,10000.0,SXF → GULF/MIDDLE EAST
SXF,GULF/MIDDLE EAST,2018,10000.0,SXF → GULF/MIDDLE EAST
SXF,GULF/MIDDLE EAST,2019,10000.0,SXF → GULF/MIDDLE EAST
SXF,NORTH AFRICA,2015,9627.463547508412,SXF → NORTH AFRICA
SXF,NORTH AFRICA,2016,10000.0,SXF → NORTH AFRICA
SXF,NORTH AFRICA,2017,10000.0,SXF → NORTH AFRICA
SXF,NORTH AFRICA,2018,10000.0,SXF → NORTH AFRICA
SXF,NORTH AFRICA,2019,10000.0,SXF → NORTH AFRICA
SXF,WESTERN EUROPE,2015,8853.797528221048,SXF → WESTERN EUROPE
SXF,WESTERN EUROPE,2016,9182.877439421447,SXF → WESTERN EUROPE
SXF,WESTERN EUROPE,2017,10000.0,SXF → WESTERN EUROPE
SXF,WESTERN EUROPE,2018,10000.0,SXF → WESTERN EUROPE
SXF,WESTERN EUROPE,2019,10000.0,SXF → WESTERN EUROPE
TXL,EASTERN EUROPE,2015,3632.3931948127574,TXL → EASTERN EUROPE
TXL,EASTERN EUROPE,2016,3354.6567744654826,TXL → EASTERN EUROPE
TXL,EASTERN EUROPE,2017,3786.079487216524,TXL → EASTERN EUROPE
TXL,EASTERN EUROPE,2018,5188.465292415396,TXL → EASTERN EUROPE
TXL,EASTERN EUROPE,2019,4692.518328279358,TXL → EASTERN EUROPE
TXL,GULF/MIDDLE EAST,2015,8413.12164673988,TXL → GULF/MIDDLE EAST
TXL,GULF/MIDDLE EAST,2016,9026.240237610928,TXL → GULF/MIDDLE EAST
TXL,GULF/MIDDLE EAST,2017,10000.0,TXL → GULF/MIDDLE EAST
TXL,GULF/MIDDLE EAST,2018,10000.0,TXL → GULF/MIDDLE EAST
TXL,GULF/MIDDLE EAST,2019,10000.0,TXL → GULF/MIDDLE EAST
TXL,NORTH AFRICA,2015,10000.0,TXL → NORTH AFRICA
TXL,NORTH AFRICA,2016,7608.024691358026,TXL → NORTH AFRICA
TXL,NORTH AFRICA,2017,5397.76462853386,TXL → NORTH AFRICA
TXL,NORTH AFRICA,2018,5002.893518518517,TXL → NORTH AFRICA
TXL,NORTH AFRICA,2019,7117.661879566641,TXL → NORTH AFRICA
TXL,WESTERN EUROPE,2015,3412.699305959768,TXL → WESTERN EUROPE
TXL,WESTERN EUROPE,2016,2975.238452775876,TXL → WESTERN EUROPE
TXL,WESTERN EUROPE,2017,3270.343241747281,TXL → WESTERN EUROPE
TXL,WESTERN EUROPE,2018,3049.769246815799,TXL → WESTERN EUROPE
TXL,WESTERN EUROPE,2019,3769.4245943645715,TXL → WESTERN EUROPE
